Estação de origem,Estação de Destino,contagem_viagens
Deck Sul Kids,Deck Sul Kids,202
EQN 104/105,102 Sul,5
EQN 104/105,Banco Central,4
EQN 104/105,Biblioteca Central,11
EQN 104/105,Brasil 21,9
EQN 104/105,Brasília Shopping,19
EQN 104/105,CLN 204,47
EQN 104/105,CLN 403,32
EQN 104/105,CLN 406,62
EQN 104/105,CNMP - Conselho Nacional do Ministério Público,1
EQN 104/105,Catedral Metropolitana,3
EQN 104/105,Centro Olímpico,7
EQN 104/105,Centro de Convenções,4
EQN 104/105,EQN 104/105,123
EQN 104/105,EQN 408/409,37
EQN 104/105,EQN 410/411,34
EQN 104/105,EQS 204/205,5
EQN 104/105,Galeria,5
EQN 104/105,ICC Sul,37
EQN 104/105,INMETRO,71
EQN 104/105,Instituto de Artes,67
EQN 104/105,Liberty Mall,35
EQN 104/105,Memorial JK,5
EQN 104/105,Ministério da Cultura,1
EQN 104/105,Ministério da Defesa,1
EQN 104/105,Ministério do Planejamento,7
EQN 104/105,Ministério dos Transportes,2
EQN 104/105,PAT,39
EQN 104/105,Praça Buriti,1
EQN 104/105,Praça do Povo,2
EQN 104/105,Rodoviária,17
EQN 104/105,Rodoviária 2,35
EQN 104/105,Rodoviária 3,22
EQN 104/105,SAS,3
EQN 104/105,SQN 205,32
EQN 104/105,SQS 305,5
EQN 104/105,SRTVS,8
EQN 104/105,STF,6
EQN 104/105,Setor Hoteleiro Norte,3
EQN 104/105,Shopping Pátio Brasil,2
EQN 104/105,TSE,2
EQN 104/105,Torre de TV,5
EQN 104/105,W2/EQN305/306,32
EQN 408/409,102 Sul,3
EQN 408/409,Banco Central,4
EQN 408/409,Biblioteca Central,59
EQN 408/409,Brasil 21,9
EQN 408/409,Brasília Shopping,8
EQN 408/409,CLN 204,30
EQN 408/409,CLN 403,45
EQN 408/409,CLN 406,266
EQN 408/409,CNMP - Conselho Nacional do Ministério Público,4
EQN 408/409,Catedral Metropolitana,4
EQN 408/409,Centro Olímpico,100
EQN 408/409,Centro de Convenções,2
EQN 408/409,EQN 104/105,10
EQN 408/409,EQN 408/409,228
EQN 408/409,EQN 410/411,232
EQN 408/409,EQS 202 / 203,5
EQN 408/409,EQS 204/205,6
EQN 408/409,Galeria,4
EQN 408/409,ICC Sul,109
EQN 408/409,INMETRO,6
EQN 408/409,Instituto de Artes,378
EQN 408/409,Liberty Mall,12
EQN 408/409,Memorial JK,1
EQN 408/409,Ministério da Cultura,3
EQN 408/409,Ministério da Saude,6
EQN 408/409,Ministério do Planejamento,3
EQN 408/409,Ministério dos Transportes,1
EQN 408/409,PAT,161
EQN 408/409,Praça Buriti,1
EQN 408/409,Praça do Povo,1
EQN 408/409,Rodoviária,48
EQN 408/409,Rodoviária 2,5
EQN 408/409,Rodoviária 3,2
EQN 408/409,SAS,1
